px	py	v	yaw_angle	yaw_rate	px_measured	py_measured	px_true	py_true	vx_true	vy_true	NIS
7.26301	-6.73829	-2.68241	-2.60195	-0.355887	7.29976	-6.68807	7.25	-6.65	1.8202	1.8202	8.90698
7.38682	-6.64325	-2.69452	-2.61028	-0.345509	7.35505	-6.56058	7.35	-6.55	1.82018	1.82018	0.428714
7.5363	-6.59789	-2.74276	-2.67157	-0.412961	7.53544	-6.5372	7.5	-6.5	2.99964	0.999884	4.52312
7.66071	-6.522	-2.75621	-2.6849	-0.406038	7.65664	-6.46417	7.65	-6.45	2.99964	0.999884	0.18775
7.77732	-6.44109	-2.72846	-2.68326	-0.371998	7.67559	-6.34628	7.75	-6.4	1.81709	0.908549	1.21963
7.90247	-6.37407	-2.71781	-2.70045	-0.369441	7.85193	-6.35845	7.85	-6.35	1.81709	0.908545	0.148069
8.02402	-6.30075	-2.69404	-2.70182	-0.341157	8.03231	-6.28406	8	-6.25	2.72931	1.81954	0.821013
8.15749	-6.21933	-2.70686	-2.70978	-0.331034	8.13749	-6.14586	8.15	-6.15	2.72928	1.81952	0.32258
8.24071	-6.12938	-2.63953	-2.67149	-0.250624	8.21488	-6.01843	8.25	-6.05	1.99977	1.99976	6.70999
8.35837	-6.04424	-2.65756	-2.66969	-0.237177	8.33626	-5.94674	8.35	-5.95	1.99977	1.99976	0.557478
8.50864	-5.98815	-2.69604	-2.70651	-0.274379	8.50318	-5.89335	8.5	-5.9	2.72796	0.909326	1.83309
8.64778	-5.91215	-2.7115	-2.71442	-0.26744	8.65894	-5.86309	8.65	-5.85	2.72796	0.909321	0.146411
8.74342	-5.81687	-2.63673	-2.67267	-0.18449	8.77185	-5.74314	8.75	-5.75	1.81776	1.81775	7.44893
8.87294	-5.72779	-2.65332	-2.66917	-0.171683	8.85444	-5.64273	8.85	-5.65	1.81774	1.81773	0.42814
8.96457	-5.64189	-2.60471	-2.63606	-0.110289	9.02394	-5.6024	8.95	-5.55	1.99657	1.99656	4.11455
9.07758	-5.55174	-2.62243	-2.6259	-0.0957421	9.05088	-5.45385	9.05	-5.45	1.99654	1.99655	0.577558
9.21918	-5.48934	-2.66185	-2.65671	-0.137624	9.04088	-5.29691	9.2	-5.4	2.72728	0.909094	3.28127
9.35024	-5.39995	-2.67897	-2.6523	-0.12647	9.34223	-5.32623	9.35	-5.35	2.72727	0.90909	0.314749
9.43889	-5.29686	-2.60704	-2.60285	-0.0453604	9.39579	-5.21659	9.45	-5.25	1.81816	1.81815	6.96131
9.56277	-5.20235	-2.62341	-2.59353	-0.0344078	9.55303	-5.13194	9.55	-5.15	1.81813	1.81813	0.290193
9.66093	-5.10671	-2.57764	-2.55737	0.0221923	9.75019	-5.14652	9.65	-5.05	1.82036	1.82036	3.68807
9.77787	-5.00615	-2.59342	-2.54326	0.0340044	9.7586	-4.93134	9.75	-4.95	1.82036	1.82037	0.340503
